x,y,layer1,layer2,voltage1,voltage2,current
1088.08,1213.25,TOP_LAYER,INT1__GND_,0.00272075,0.00272075,-0
1088.08,1213.25,INT1__GND_,INT2__SIGN_,0.00272075,0.00272075,-6.09483e-16
1088.08,1213.25,INT2__SIGN_,INT3__SIGN_,0.00272075,0.00272075,-0
1088.08,1213.25,INT3__SIGN_,INT4__PWR_,0.00272075,0.00272075,-6.09483e-16
1088.08,1213.25,INT4__PWR_,BOTTOM_LAYER,0.00272075,0.00272075,-0
1088.08,1262.47,TOP_LAYER,INT1__GND_,0.0027211,0.0027211,-0
1088.08,1262.47,INT1__GND_,INT2__SIGN_,0.0027211,0.0027211,-1.82845e-15
1088.08,1262.47,INT2__SIGN_,INT3__SIGN_,0.0027211,0.0027211,-2.25899e-15
1088.08,1262.47,INT3__SIGN_,INT4__PWR_,0.0027211,0.0027211,-6.09483e-16
1088.08,1262.47,INT4__PWR_,BOTTOM_LAYER,0.0027211,0.0027211,-0
1088.08,1311.68,TOP_LAYER,INT1__GND_,0.00272134,0.00272134,-0
1088.08,1311.68,INT1__GND_,INT2__SIGN_,0.00272134,0.00272134,-6.09483e-16
1088.08,1311.68,INT2__SIGN_,INT3__SIGN_,0.00272134,0.00272134,-0
1088.08,1311.68,INT3__SIGN_,INT4__PWR_,0.00272134,0.00272134,-6.09483e-16
1088.08,1311.68,INT4__PWR_,BOTTOM_LAYER,0.00272134,0.00272134,-0
1088.08,1360.89,TOP_LAYER,INT1__GND_,0.0027216,0.0027216,-0
1088.08,1360.89,INT1__GND_,INT2__SIGN_,0.0027216,0.0027216,-0
1088.08,1360.89,INT2__SIGN_,INT3__SIGN_,0.0027216,0.0027216,-2.25899e-15
1088.08,1360.89,INT3__SIGN_,INT4__PWR_,0.0027216,0.0027216,-6.09483e-16
1088.08,1360.89,INT4__PWR_,BOTTOM_LAYER,0.0027216,0.0027216,-0
1088.08,1410.11,TOP_LAYER,INT1__GND_,0.00272191,0.00272191,-0
1088.08,1410.11,INT1__GND_,INT2__SIGN_,0.00272191,0.00272191,-6.09483e-16
1088.08,1410.11,INT2__SIGN_,INT3__SIGN_,0.00272191,0.00272191,-0
1088.08,1410.11,INT3__SIGN_,INT4__PWR_,0.00272191,0.00272191,-6.09483e-16
1088.08,1410.11,INT4__PWR_,BOTTOM_LAYER,0.00272191,0.00272191,-0
1088.08,1459.32,TOP_LAYER,INT1__GND_,0.00272261,0.00272261,-0
1088.08,1459.32,INT1__GND_,INT2__SIGN_,0.00272261,0.00272261,-6.09483e-16
1088.08,1459.32,INT2__SIGN_,INT3__SIGN_,0.00272261,0.00272261,-0
1088.08,1459.32,INT3__SIGN_,INT4__PWR_,0.00272261,0.00272261,-6.09483e-16
1088.08,1459.32,INT4__PWR_,BOTTOM_LAYER,0.00272261,0.00272261,-0
1088.08,1508.53,TOP_LAYER,INT1__GND_,0.00272301,0.00272301,-0
1088.08,1508.53,INT1__GND_,INT2__SIGN_,0.00272301,0.00272301,-6.09483e-16
1088.08,1508.53,INT2__SIGN_,INT3__SIGN_,0.00272301,0.00272301,-0
1088.08,1508.53,INT3__SIGN_,INT4__PWR_,0.00272301,0.00272301,-6.09483e-16
1088.08,1508.53,INT4__PWR_,BOTTOM_LAYER,0.00272301,0.00272301,-0
1088.08,1557.74,TOP_LAYER,INT1__GND_,0.00272344,0.00272344,-0
1088.08,1557.74,INT1__GND_,INT2__SIGN_,0.00272344,0.00272344,-0
1088.08,1557.74,INT2__SIGN_,INT3__SIGN_,0.00272344,0.00272344,-2.25899e-15
1088.08,1557.74,INT3__SIGN_,INT4__PWR_,0.00272344,0.00272344,-6.09483e-16
1088.08,1557.74,INT4__PWR_,BOTTOM_LAYER,0.00272344,0.00272344,-0
1088.08,1606.96,TOP_LAYER,INT1__GND_,0.00272389,0.00272389,-0
1088.08,1606.96,INT1__GND_,INT2__SIGN_,0.00272389,0.00272389,-6.09483e-16
1088.08,1606.96,INT2__SIGN_,INT3__SIGN_,0.00272389,0.00272389,-0
1088.08,1606.96,INT3__SIGN_,INT4__PWR_,0.00272389,0.00272389,-6.09483e-16
1088.08,1606.96,INT4__PWR_,BOTTOM_LAYER,0.00272389,0.00272389,-0
1088.08,1656.17,TOP_LAYER,INT1__GND_,0.00272487,0.00272487,-0
1088.08,1656.17,INT1__GND_,INT2__SIGN_,0.00272487,0.00272487,-6.09483e-16
1088.08,1656.17,INT2__SIGN_,INT3__SIGN_,0.00272487,0.00272487,-0
1088.08,1656.17,INT3__SIGN_,INT4__PWR_,0.00272487,0.00272487,-6.09483e-16
1088.08,1656.17,INT4__PWR_,BOTTOM_LAYER,0.00272487,0.00272487,-0
1088.08,1705.38,TOP_LAYER,INT1__GND_,0.00272538,0.00272538,-0
1088.08,1705.38,INT1__GND_,INT2__SIGN_,0.00272538,0.00272538,-6.09483e-16
1088.08,1705.38,INT2__SIGN_,INT3__SIGN_,0.00272538,0.00272538,-0
1088.08,1705.38,INT3__SIGN_,INT4__PWR_,0.00272538,0.00272538,-6.09483e-16
1088.08,1705.38,INT4__PWR_,BOTTOM_LAYER,0.00272538,0.00272538,-0
1088.08,1754.59,TOP_LAYER,INT1__GND_,0.0027259,0.0027259,-0
1088.08,1754.59,INT1__GND_,INT2__SIGN_,0.0027259,0.0027259,-6.09483e-16
1088.08,1754.59,INT2__SIGN_,INT3__SIGN_,0.0027259,0.0027259,-0
1088.08,1754.59,INT3__SIGN_,INT4__PWR_,0.0027259,0.0027259,-6.09483e-16
1088.08,1754.59,INT4__PWR_,BOTTOM_LAYER,0.0027259,0.0027259,-0
1088.08,1803.81,TOP_LAYER,INT1__GND_,0.00272695,0.00272695,-0
1088.08,1803.81,INT1__GND_,INT2__SIGN_,0.00272695,0.00272695,-6.09483e-16
1088.08,1803.81,INT2__SIGN_,INT3__SIGN_,0.00272695,0.00272695,-0
1088.08,1803.81,INT3__SIGN_,INT4__PWR_,0.00272695,0.00272695,-6.09483e-16
1088.08,1803.81,INT4__PWR_,BOTTOM_LAYER,0.00272695,0.00272695,-0
1088.08,1853.02,TOP_LAYER,INT1__GND_,0.0027275,0.0027275,-0
1088.08,1853.02,INT1__GND_,INT2__SIGN_,0.0027275,0.0027275,-0
1088.08,1853.02,INT2__SIGN_,INT3__SIGN_,0.0027275,0.0027275,-2.25899e-15
1088.08,1853.02,INT3__SIGN_,INT4__PWR_,0.0027275,0.0027275,-6.09483e-16
1088.08,1853.02,INT4__PWR_,BOTTOM_LAYER,0.0027275,0.0027275,-0
1088.08,1902.23,TOP_LAYER,INT1__GND_,0.00272806,0.00272806,-0
1088.08,1902.23,INT1__GND_,INT2__SIGN_,0.00272806,0.00272806,-6.09483e-16
1088.08,1902.23,INT2__SIGN_,INT3__SIGN_,0.00272806,0.00272806,-0
1088.08,1902.23,INT3__SIGN_,INT4__PWR_,0.00272806,0.00272806,-6.09483e-16
1088.08,1902.23,INT4__PWR_,BOTTOM_LAYER,0.00272806,0.00272806,-0
1088.08,1951.44,TOP_LAYER,INT1__GND_,0.00272864,0.00272864,-0
1088.08,1951.44,INT1__GND_,INT2__SIGN_,0.00272864,0.00272864,-6.09483e-16
1088.08,1951.44,INT2__SIGN_,INT3__SIGN_,0.00272864,0.00272864,-0
1088.08,1951.44,INT3__SIGN_,INT4__PWR_,0.00272864,0.00272864,-6.09483e-16
1088.08,1951.44,INT4__PWR_,BOTTOM_LAYER,0.00272864,0.00272864,-0
1088.08,2000.66,TOP_LAYER,INT1__GND_,0.00272981,0.00272981,-0
1088.08,2000.66,INT1__GND_,INT2__SIGN_,0.00272981,0.00272981,-1.82845e-15
1088.08,2000.66,INT2__SIGN_,INT3__SIGN_,0.00272981,0.00272981,-2.25899e-15
1088.08,2000.66,INT3__SIGN_,INT4__PWR_,0.00272981,0.00272981,-6.09483e-16
1088.08,2000.66,INT4__PWR_,BOTTOM_LAYER,0.00272981,0.00272981,-0
1088.08,2049.87,TOP_LAYER,INT1__GND_,0.0027304,0.0027304,-0
1088.08,2049.87,INT1__GND_,INT2__SIGN_,0.0027304,0.0027304,-0
1088.08,2049.87,INT2__SIGN_,INT3__SIGN_,0.0027304,0.0027304,-2.25899e-15
1088.08,2049.87,INT3__SIGN_,INT4__PWR_,0.0027304,0.0027304,-6.09483e-16
1088.08,2049.87,INT4__PWR_,BOTTOM_LAYER,0.0027304,0.0027304,-0
1088.08,2099.08,TOP_LAYER,INT1__GND_,0.00273099,0.00273099,-0
1088.08,2099.08,INT1__GND_,INT2__SIGN_,0.00273099,0.00273099,-6.09483e-16
1088.08,2099.08,INT2__SIGN_,INT3__SIGN_,0.00273099,0.00273099,-0
1088.08,2099.08,INT3__SIGN_,INT4__PWR_,0.00273099,0.00273099,-6.09483e-16
1088.08,2099.08,INT4__PWR_,BOTTOM_LAYER,0.00273099,0.00273099,-0
1088.08,2148.29,TOP_LAYER,INT1__GND_,0.00273159,0.00273159,-0
1088.08,2148.29,INT1__GND_,INT2__SIGN_,0.00273159,0.00273159,-6.09483e-16
1088.08,2148.29,INT2__SIGN_,INT3__SIGN_,0.00273159,0.00273159,-0
1088.08,2148.29,INT3__SIGN_,INT4__PWR_,0.00273159,0.00273159,-6.09483e-16
1088.08,2148.29,INT4__PWR_,BOTTOM_LAYER,0.00273159,0.00273159,-0
1088.08,2197.51,TOP_LAYER,INT1__GND_,0.0027328,0.0027328,-0
1088.08,2197.51,INT1__GND_,INT2__SIGN_,0.0027328,0.0027328,-6.09483e-16
1088.08,2197.51,INT2__SIGN_,INT3__SIGN_,0.0027328,0.0027328,-0
1088.08,2197.51,INT3__SIGN_,INT4__PWR_,0.0027328,0.0027328,-6.09483e-16
1088.08,2197.51,INT4__PWR_,BOTTOM_LAYER,0.0027328,0.0027328,-0
1088.08,2246.72,TOP_LAYER,INT1__GND_,0.00273341,0.00273341,-0
1088.08,2246.72,INT1__GND_,INT2__SIGN_,0.00273341,0.00273341,-6.09483e-16
1088.08,2246.72,INT2__SIGN_,INT3__SIGN_,0.00273341,0.00273341,-0
1088.08,2246.72,INT3__SIGN_,INT4__PWR_,0.00273341,0.00273341,-6.09483e-16
1088.08,2246.72,INT4__PWR_,BOTTOM_LAYER,0.00273341,0.00273341,-0
1088.08,2295.93,TOP_LAYER,INT1__GND_,0.00273402,0.00273402,-0
1088.08,2295.93,INT1__GND_,INT2__SIGN_,0.00273402,0.00273402,-0
1088.08,2295.93,INT2__SIGN_,INT3__SIGN_,0.00273402,0.00273402,-2.25899e-15
1088.08,2295.93,INT3__SIGN_,INT4__PWR_,0.00273402,0.00273402,-6.09483e-16
1088.08,2295.93,INT4__PWR_,BOTTOM_LAYER,0.00273402,0.00273402,-0
1088.08,2345.14,TOP_LAYER,INT1__GND_,0.00273463,0.00273463,-0
1088.08,2345.14,INT1__GND_,INT2__SIGN_,0.00273463,0.00273463,-0
1088.08,2345.14,INT2__SIGN_,INT3__SIGN_,0.00273463,0.00273463,-2.25899e-15
1088.08,2345.14,INT3__SIGN_,INT4__PWR_,0.00273463,0.00273463,-6.09483e-16
1088.08,2345.14,INT4__PWR_,BOTTOM_LAYER,0.00273463,0.00273463,-0
1088.08,2394.36,TOP_LAYER,INT1__GND_,0.00273587,0.00273587,-0
1088.08,2394.36,INT1__GND_,INT2__SIGN_,0.00273587,0.00273587,-1.82845e-15
1088.08,2394.36,INT2__SIGN_,INT3__SIGN_,0.00273587,0.00273587,-2.25899e-15
1088.08,2394.36,INT3__SIGN_,INT4__PWR_,0.00273587,0.00273587,-6.09483e-16
1088.08,2394.36,INT4__PWR_,BOTTOM_LAYER,0.00273587,0.00273587,-0
1088.08,2443.57,TOP_LAYER,INT1__GND_,0.00273649,0.00273649,-0
1088.08,2443.57,INT1__GND_,INT2__SIGN_,0.00273649,0.00273649,-6.09483e-16
