Removed Pin From Net: NetName=GND Pin=C1-1
Removed Pin From Net: NetName=GND Pin=C2-1
Removed Pin From Net: NetName=GND Pin=C3-1
Removed Pin From Net: NetName=GND Pin=D7-1
Removed Pin From Net: NetName=GND Pin=D7-2
Removed Pin From Net: NetName=NetJ1_2 Pin=J1-2
Removed Pin From Net: NetName=NetJ1_2 Pin=J1-20
Removed Pin From Net: NetName=GND Pin=J3-9
Removed Pin From Net: NetName=GND Pin=U1-4
Removed Pin From Net: NetName=GND Pin=U6-3
Removed Member From Class: ClassName=PowerSection Member=D13
Removed Member From Class: ClassName=PowerSection Member=D14
Removed Member From Class: ClassName=Dosimeter Member=R15
Removed Member From Class: ClassName=TemperatureMonitor Member=U2
Removed Member From Class: ClassName=TemperatureMonitor Member=U6
Change Component Footprint: Designator=U2 Old Footprint=ADI-RW-16_L New Footprint=FP-R-8-IPC_C
Change Component Footprint: Designator=R27 Old Footprint=FP-MCT0603-MFG New Footprint=RESC1005X40N
Change Component Footprint: Designator=U6 Old Footprint=LP0003A New Footprint=FP-R-14-IPC_C
Change Component Footprint: Designator=D9 Old Footprint=VISH-SOD-323-2_V New Footprint=RF05VYM1SFHTR
Change Component Comment : Designator=U2 Old Comment=AD713JRZ-16 New Comment=AD620ARZ-REEL7
Change Component Comment : Designator=U6 Old Comment=LM35CZ/NOPB New Comment=ADA4522-4ARZ-RL
Change Component Comment : Designator=R27 Old Comment=MCT06030C2400FP500 New Comment=0402WGF1000TCE
Change Managed Component Library Link : Designator=U2 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=28638A47-840E-4775-BDB8-AFC5A9E3C880 New ItemGUID=56E43541-BF74-434D-B256-9C7BBC72972A Old RevisionGUID=440750CF-316B-425F-9199-3365FD87883E New RevisionGUID=53AD528E-DD1A-4914-BCAD-923E52132B74
Change Managed Component Library Link : Designator=U6 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=7BF51AB9-6300-4734-A1DB-7B0B2F8DB09A New ItemGUID=B4F8013A-5843-4F83-8805-56C333ACD7C6 Old RevisionGUID=B2F5D09B-96B6-49F1-89B5-9F8EAD38EA49 New RevisionGUID=04A22B94-9158-4F6D-8BA1-6D8D61689266
Change Managed Component Library Link : Designator=R27 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=3458345C-EDE1-4718-8118-DC395A4F29CA New ItemGUID= Old RevisionGUID=B17701B1-3650-4C62-B2D5-B9317870B428 New RevisionGUID=
Change component parameters: Designator = "R27" ("R27"); Footprint = "FP-MCT0603-MFG"; UniqueID = "\BFAYDFFW\OHRYJZFJ" ("\BFAYDFFW\OHRYJZFJ")
Change component parameters (AddParameter): Name = "Arrow Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Arrow Price/Stock"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Link"; Value = "https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF1000TCE_C25076.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.4mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "UNI-ROYAL(Uniroyal Elec)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Part_Number"; Value = "0402WGF1000TCE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Price/Stock"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "U2" ("U2"); Footprint = "ADI-RW-16_L"; UniqueID = "\ZOJEKNTR\EKLWRGXZ" ("\ZOJEKNTR\EKLWRGXZ")
Change component parameters (AddParameter): Name = "-3db Bandwidth"; Value = "1MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Bandwidth"; Value = "800kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SOIC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Common Mode Rejection Ratio"; Value = "93dB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dual Supply Voltage"; Value = "15V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Bias Current"; Value = "500pA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Offset Voltage (Vos)"; Value = "30mV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Resistance"; Value = "10GR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Contains Lead"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Dual Supply Voltage"; Value = "18V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125캜"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "650mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Dual Supply Voltage"; Value = "2.3V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55캜"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Supply Voltage"; Value = "4.6V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
